page_id,page_title,view_count,protection_level,protection_expiry,page_length,page_id_scrapped,number_page_watchers,number_page_watchers_recent_edits,number_of_redirects,page_views_past_30days,total_edits,recent_number_of_edits,number_distinct_authors,number_categories
340663,Paul Reiser,4433720,unprotected,,22427,,76,9,4,80115,864,1,1,20
341312,Xiamen Special Economic Zone,14252,unprotected,,1391,,Fewer than 30 watchers,,0,67,24,0,0,3
352758,Akizuki Tanezane,7821,unprotected,,1741,,Fewer than 30 watchers,,1,78,51,0,0,4
372560,Upper Walthamstow,15040,unprotected,,25,,Fewer than 30 watchers,,0,20,51,0,0,
376635,Thomas Talfourd,16035,unprotected,,9583,,Fewer than 30 watchers,,5,105,120,0,0,25
383777,Tom Henke,132473,unprotected,,18762,,Fewer than 30 watchers,,0,2442,299,0,0,3
406770,Omake,201365,unprotected,,5215,,41,There may or may not be a watching user visiting recent edits,1,2396,144,0,0,6
432943,Baths of Caracalla,677207,unprotected,,33142,,88,10,5,6255,532,2,2,15
439896,Joseph Hodges Choate,80687,unprotected,,17102,,Fewer than 30 watchers,,3,913,207,0,0,28
481608,Sikorsky CH-37 Mojave,417715,unprotected,,11295,,43,10,11,6567,206,0,0,6
489652,Raoul Barré,32412,unprotected,,8823,,Fewer than 30 watchers,,1,193,89,0,0,17
505189,Continuation,291571,unprotected,,27847,,126,10,7,2636,548,0,0,4
516027,Kirby's Dream Land,651636,unprotected,,26569,,61,9,7,6861,841,6,4,12
540932,Pontiac Bonneville,1213082,unprotected,,69068,,70,12,1,14564,1030,1,1,10
577615,Buckman,9933,unprotected,,2156,,Fewer than 30 watchers,,1,15,40,0,0,
580353,Fallturm Bremen,44048,unprotected,,1511,,Fewer than 30 watchers,,1,489,68,0,0,2
611022,Berry Islands,103552,unprotected,,5377,,Fewer than 30 watchers,,17,967,115,0,0,8
638295,Snufkin,481509,unprotected,,6334,,Fewer than 30 watchers,,1,6424,271,0,0,4
648042,ADE classification,62571,unprotected,,20243,,32,4,3,544,154,0,0,8
659643,Seven Hills,8954,unprotected,,104,,Fewer than 30 watchers,,0,13,29,0,0,5
667049,Meg Tilly,3648535,unprotected,,24897,,81,12,0,55019,962,8,4,26
682842,Split the Difference,35223,unprotected,,4628,,Fewer than 30 watchers,,8,254,105,0,0,11
683979,Lost Patrol (video game),34431,unprotected,,12900,,Fewer than 30 watchers,,0,338,207,2,1,9
685106,Betty Dodson,465302,unprotected,,10947,,53,5,10,4501,303,0,0,16
694788,Leftfoot,5028,unprotected,,1090,,Fewer than 30 watchers,,0,12,25,0,0,2
746519,Rainer Hertrich,4676,unprotected,,4113,,Fewer than 30 watchers,,0,8,52,0,0,8
758092,Galore (The Cure album),192253,unprotected,,5281,,Fewer than 30 watchers,,1,2568,136,0,0,5
759885,Darrell Armstrong,202412,unprotected,,19602,,Fewer than 30 watchers,,1,2470,297,0,0,4
766979,Little River (North Umpqua River),6304,unprotected,,74,,Fewer than 30 watchers,,0,18,1,0,0,
776313,Machine Gun (band),14901,unprotected,,1990,,Fewer than 30 watchers,,0,103,45,0,0,7
799708,SciFan,5423,unprotected,,0,,Fewer than 30 watchers,,0,0,,,,
821919,Feck,254611,unprotected,,6260,,35,3,4,2850,431,3,3,4
843191,Hot Potato (game show),35964,unprotected,,6985,,Fewer than 30 watchers,,1,247,279,3,2,
863116,Extreme points of Earth,2430989,unprotected,,48,,332,32,0,6331,1608,0,0,2
872259,"Edward Guinness, 1st Earl of Iveagh",110758,unprotected,,21786,,Fewer than 30 watchers,,6,1621,240,0,0,22
876018,Aerial Common Sensor,27174,unprotected,,5138,,Fewer than 30 watchers,,1,148,68,1,1,4
889697,U.S. Route 98,126122,unprotected,,14395,,Fewer than 30 watchers,,29,1383,230,3,2,13
908505,In Which Annie Gives It Those Ones,155220,unprotected,,7294,,Fewer than 30 watchers,,1,2273,134,0,0,7
916850,"St Mary's College, Durham",46604,unprotected,,10540,,Fewer than 30 watchers,,2,726,237,0,0,7
920330,Tupaia (navigator),138077,unprotected,,14264,,Fewer than 30 watchers,,4,1735,164,2,2,16
922404,Nobuo Tobita,112765,unprotected,,24610,,Fewer than 30 watchers,,2,1557,490,1,1,9
960330,George Barris (photographer),41175,unprotected,,2834,,Fewer than 30 watchers,,0,225,161,0,0,6
967654,Bottling line,130547,unprotected,,6460,,Fewer than 30 watchers,,4,541,88,0,0,
983002,Broadcast automation,108165,unprotected,,11731,,52,5,1,1135,171,0,0,9
996399,Lobito,115586,unprotected,,11618,,Fewer than 30 watchers,,0,987,159,0,0,9
1007767,DeFord Bailey,233495,unprotected,,20907,,35,7,1,2147,270,0,0,19
1018662,Kadomatsu,175932,unprotected,,4056,,Fewer than 30 watchers,,3,765,128,0,0,8
1078126,Patrick Chapman,20713,unprotected,,7601,,Fewer than 30 watchers,,0,56,185,0,0,11
1083981,Penápolis,18539,unprotected,,5201,,Fewer than 30 watchers,,1,155,73,0,0,8
1125651,Gerry Sayer,15137,unprotected,,8096,,Fewer than 30 watchers,,0,89,72,1,1,6
1127604,Shelbourne United F.C.,12116,unprotected,,5228,,Fewer than 30 watchers,,1,87,45,0,0,2
1138768,Rolf Gindorf,18962,unprotected,,2769,,Fewer than 30 watchers,,0,158,197,0,0,14
1160658,Makio Inoue,41065,unprotected,,8909,,Fewer than 30 watchers,,1,321,93,0,0,11
1166477,Bubble Yum,164953,unprotected,,2403,,Fewer than 30 watchers,,2,1568,232,0,0,
1178637,Sol M. Wurtzel,28520,unprotected,,7798,,Fewer than 30 watchers,,3,227,144,0,0,13
1180662,Pocono Mountains,1555831,unprotected,,62439,,87,6,6,14800,1131,0,0,10
1183719,Eastgate,15146,unprotected,,1835,,Fewer than 30 watchers,,2,132,80,3,2,
1229196,Baden Teague,11523,unprotected,,3810,,Fewer than 30 watchers,,0,30,68,1,1,10
1244933,Hydantoin,206927,unprotected,,8257,,Fewer than 30 watchers,,8,1503,156,0,0,9
1251808,Master Order,330195,unprotected,,141,,Fewer than 30 watchers,,0,1160,87,0,0,
1284813,Suristan,18236,unprotected,,714,,Fewer than 30 watchers,,1,60,30,0,0,6
1320557,KDP (disambiguation),10853,unprotected,,743,,Fewer than 30 watchers,,1,66,58,0,0,
1345299,Ted King (actor),294049,unprotected,,9573,,Fewer than 30 watchers,,2,15837,307,11,3,14
1352792,Sj-sound,205834,unprotected,,11369,,45,5,16,2960,303,6,4,9
1372704,Gord Martineau,72546,unprotected,,3417,,Fewer than 30 watchers,,0,546,151,0,0,5
1376344,List of universities in Haiti,70918,unprotected,,5382,,Fewer than 30 watchers,,0,366,220,4,3,2
1381306,Sweat gland,1205719,unprotected,,43915,,119,10,14,9331,573,3,3,15
1481657,We Were Soldiers Once… And Young,226847,unprotected,,65,,Fewer than 30 watchers,,0,1155,1,0,0,
1518234,Model European Parliament,28385,unprotected,,11470,,Fewer than 30 watchers,,0,75,86,0,0,4
1530666,William Allan Neilson,16011,unprotected,,5648,,Fewer than 30 watchers,,1,113,62,0,0,26
1537239,Jingū-mae Station,10083,unprotected,,5811,,Fewer than 30 watchers,,2,55,66,0,0,11
1573973,Vega (crater),7658,unprotected,,5759,,Fewer than 30 watchers,,0,38,36,0,0,
1589070,Bank of Taiwan,101156,unprotected,,6999,,Fewer than 30 watchers,,3,969,203,0,0,10
1595238,Hong Kong International Film Festival,78204,unprotected,,18653,,Fewer than 30 watchers,,2,502,230,2,2,
1608441,Aspect (geography),253200,unprotected,,7582,,Fewer than 30 watchers,,2,1784,161,2,1,3
1696562,City Boy (band),182824,unprotected,,15052,,Fewer than 30 watchers,,2,2989,284,5,3,13
1707269,"Prince Edward Island general election, 2000",8655,unprotected,,73,,Fewer than 30 watchers,,0,2,1,0,0,
1708818,Marie Stubbs,22105,unprotected,,5069,,Fewer than 30 watchers,,1,141,118,0,0,13
1719982,Cannanore (disambiguation),8966,unprotected,,492,,Fewer than 30 watchers,,0,36,12,0,0,
1725253,Vasco da Gama Tower,92760,unprotected,,6344,,Fewer than 30 watchers,,3,578,137,0,0,8
1749714,Kennel Club Books,9112,unprotected,,76,,Fewer than 30 watchers,,0,7,29,0,0,3
1765812,Queenborough railway station,20826,unprotected,,10910,,Fewer than 30 watchers,,1,136,87,1,1,10
1781119,Domenico Ferrata,12706,unprotected,,5695,,Fewer than 30 watchers,,1,71,84,0,0,12
1819808,Mariana Levy,279347,unprotected,,8221,,Fewer than 30 watchers,,0,2341,156,0,0,8
1824796,K. Sri Dhammananda,53001,unprotected,,12305,,Fewer than 30 watchers,,6,926,122,0,0,19
1894958,Ergastulum,28043,unprotected,,4552,,Fewer than 30 watchers,,1,380,38,0,0,4
1929224,Culture of Afghanistan,370673,unprotected,,30676,,145,2,7,7983,1694,10,5,5
1941448,Bishop of Condom,14354,unprotected,,63,,Fewer than 30 watchers,,0,42,1,0,0,
1964809,List of lakes of Canada,554314,unprotected,,40949,,37,6,9,5544,560,0,0,5
1971924,Order of Glory,66236,unprotected,,12850,,Fewer than 30 watchers,,1,687,170,0,0,5
1974048,Marion Dewar,34669,unprotected,,13010,,Fewer than 30 watchers,,0,214,169,0,0,7
1988333,Motion and amendment (election),12143,unprotected,,3392,,Fewer than 30 watchers,,0,16,17,0,0,2
2023424,Gewehr 98,2165486,unprotected,,60700,,96,14,23,24945,1373,3,3,14
2068773,"Luna, La Union",68932,unprotected,,15426,,Fewer than 30 watchers,,0,729,167,2,2,12
2079455,Royal blue,950805,unprotected,,8568,,51,5,4,9407,493,1,1,5
2128025,Croft (land),461908,unprotected,,5309,,44,5,15,5033,189,2,2,10
2149521,Il Demonio Nera,11271,unprotected,,2303,,Fewer than 30 watchers,,0,46,39,0,0,8
2189912,Westbury-on-Trym,79529,unprotected,,13466,,Fewer than 30 watchers,,5,631,244,0,0,11
2196839,Tony Allen (musician),680118,unprotected,,21423,,38,5,1,7561,413,4,3,28
2204351,The Answer,32881,unprotected,,1908,,Fewer than 30 watchers,,2,169,97,0,0,
2207525,Terziere,12908,unprotected,,1508,,Fewer than 30 watchers,,0,59,15,0,0,5
2230291,Angelo Iachino,58378,unprotected,,8260,,Fewer than 30 watchers,,0,647,101,2,1,12
2255820,Transthoracic echocardiogram,446257,unprotected,,24378,,Fewer than 30 watchers,,0,3617,156,1,1,2
2265031,Cashmere High School,41737,unprotected,,16227,,Fewer than 30 watchers,,1,339,334,2,2,14
2268251,Karen J. Williams,29023,unprotected,,7319,,Fewer than 30 watchers,,1,186,86,0,0,5
2297903,Wauchope,8194,unprotected,,1153,,Fewer than 30 watchers,,7,62,18,0,0,
2331491,Reinhold Begas,26140,unprotected,,4820,,Fewer than 30 watchers,,0,154,65,0,0,25
2341461,Dominic Dromgoole,49408,unprotected,,10746,,Fewer than 30 watchers,,5,492,119,0,0,13
2352924,National Assembly (Burundi),50986,unprotected,,5256,,Fewer than 30 watchers,,2,503,65,0,0,4
2357704,Bluehead wrasse,50488,unprotected,,83,,Fewer than 30 watchers,,0,58,1,0,0,
2358245,Winner Take Nothing,67150,unprotected,,7398,,Fewer than 30 watchers,,0,991,76,0,0,4
2370766,Ion beam analysis,29079,unprotected,,23591,,Fewer than 30 watchers,,3,149,78,0,0,
2382960,List of Chief Ministers of Sikkim,242108,unprotected,,132,,Fewer than 30 watchers,,0,297,2,0,0,3
2394769,San Andrés Semetabaj,10184,unprotected,,12301,,Fewer than 30 watchers,,1,43,30,0,0,9
2430557,Six Points,9127,unprotected,,445,,Fewer than 30 watchers,,2,28,22,0,0,
2434270,One handgun a month law,30806,unprotected,,2794,,Fewer than 30 watchers,,0,211,56,0,0,6
2459592,John Bly,46184,unprotected,,4763,,Fewer than 30 watchers,,1,318,97,0,0,3
2477193,HMS Ithuriel (1916),9652,unprotected,,14242,,Fewer than 30 watchers,,0,146,66,0,0,3
2486084,Syllabic consonant,468511,unprotected,,16247,,57,10,10,5461,298,0,0,25
2491816,Parfleche,73155,unprotected,,7921,,Fewer than 30 watchers,,1,546,104,0,0,2
2509600,GE AC4400CW,266054,unprotected,,10377,,Fewer than 30 watchers,,3,4655,289,10,6,4
2514063,Phil Vickery (chef),442109,unprotected,,5048,,Fewer than 30 watchers,,0,19338,193,0,0,5
2550681,Bass Rock (disambiguation),2431,unprotected,,627,,Fewer than 30 watchers,,0,8,12,0,0,
2595372,Quick (newspaper),12823,unprotected,,2559,,Fewer than 30 watchers,,0,25,85,0,0,3
2613318,Chad McNamara,53289,unprotected,,0,,Fewer than 30 watchers,,0,0,,,,
2617303,Heinrich Paulus,15601,unprotected,,4127,,Fewer than 30 watchers,,2,146,55,0,0,18
2626808,Masha Bruskina,141900,unprotected,,9185,,Fewer than 30 watchers,,0,3350,188,1,1,14
2649059,1910 Tour de France,60506,unprotected,,27057,,Fewer than 30 watchers,,0,355,175,0,0,8
2651745,Robson,27408,unprotected,,1591,,Fewer than 30 watchers,,1,121,76,0,0,
2680144,Leopardus,302344,unprotected,,19246,,39,5,1,3562,328,8,4,4
2681934,Epsilon Sextantis,6656,unprotected,,6815,,Fewer than 30 watchers,,2,23,31,0,0,3
2696802,HMNZS Te Mana (F111),84364,unprotected,,25832,,Fewer than 30 watchers,,3,1167,143,1,1,6
2710041,Utopia Banished,133608,unprotected,,6734,,Fewer than 30 watchers,,1,1557,150,0,0,10
2717091,Renseneb,39604,unprotected,,4446,,Fewer than 30 watchers,,0,162,59,0,0,
2732149,ZeroNine Manufacturing,1462,unprotected,,0,,Fewer than 30 watchers,,0,0,,,,
2736939,Random number generation,3155183,unprotected,,33119,,244,20,14,46350,946,7,6,15
2744097,James Brown (Scottish politician),10106,unprotected,,8731,,Fewer than 30 watchers,,0,47,88,0,0,8
2768539,Æthelwine of Abingdon,3532,unprotected,,1060,,Fewer than 30 watchers,,4,4,27,0,0,4
2870161,Bell's spaceship paradox,168570,unprotected,,34445,,63,7,1,1586,663,0,0,5
2876164,Ataun,17824,unprotected,,2839,,Fewer than 30 watchers,,0,77,65,0,0,11
2884143,Martin Gottfried Weiss,222843,unprotected,,10950,,Fewer than 30 watchers,,2,2900,192,1,1,13
2888633,Margraviate of Baden,130317,unprotected,,13315,,109,5,13,1800,155,3,3,7
2913424,LMS Stanier Class 5 4-6-0 44738-57,7259,unprotected,,84,,Fewer than 30 watchers,,0,7,1,0,0,
2920810,C5-convertase,62723,unprotected,,10840,,Fewer than 30 watchers,,1,536,80,0,0,5
2931650,G.I. Joe: A Real American Hero (1985 TV series),526053,unprotected,,108,,111,7,0,5807,1,0,0,
2955601,Mexcaltitán de Uribe,47413,unprotected,,6603,,Fewer than 30 watchers,,5,1190,91,0,0,5
2966447,Rougemont Airport,6726,unprotected,,1026,,Fewer than 30 watchers,,1,12,33,0,0,3
2974855,Kiabonyoru primary school,1695,unprotected,,109,,Fewer than 30 watchers,,0,0,4,0,0,3
2984941,Pillar (car),608710,unprotected,,9241,,56,6,14,5575,193,0,0,
3057722,Parademon,1074577,unprotected,,11434,,33,10,3,4351,375,3,1,5
3105023,Offshore investment,164676,unprotected,,14596,,Fewer than 30 watchers,,1,783,151,0,0,8
3125556,Mikael Persbrandt,1318704,unprotected,,13130,,Fewer than 30 watchers,,0,19042,396,0,0,24
3154274,Spirodela punctata,12027,unprotected,,1462,,Fewer than 30 watchers,,3,61,43,0,0,6
3168708,Alvechurch F.C.,139097,unprotected,,23536,,Fewer than 30 watchers,,4,1451,403,7,1,4
3209473,Ewart's sign,85968,unprotected,,2465,,Fewer than 30 watchers,,1,547,33,1,1,3
3216889,Beejamandal,13973,unprotected,,5660,,Fewer than 30 watchers,,1,161,58,0,0,7
3235466,Wadie Haddad,363012,unprotected,,7292,,66,5,7,4060,336,0,0,14
3281013,Blore with Swinscoe,5677,unprotected,,914,,Fewer than 30 watchers,,1,22,19,0,0,7
3309716,History of merit badges (Boy Scouts of America),73974,unprotected,,39732,,48,3,6,476,1074,1,1,3
3329538,Interpolation attack,22403,unprotected,,12725,,Fewer than 30 watchers,,0,33,37,0,0,3
3347726,Steve Doran,5740,unprotected,,3153,,Fewer than 30 watchers,,1,10,72,0,0,3
3360224,Dougga,151833,unprotected,,89974,,43,6,5,1372,318,1,1,27
3401414,Aeronwy Thomas,136515,unprotected,,6672,,Fewer than 30 watchers,,2,3227,171,2,2,19
3430764,Ashot Danielyan,20368,unprotected,,4238,,Fewer than 30 watchers,,0,423,63,0,0,4
3543585,Joule-second,207744,unprotected,,3097,,Fewer than 30 watchers,,4,2545,111,0,0,
3558687,Mario Rosenstock,114750,unprotected,,6700,,Fewer than 30 watchers,,0,722,246,1,1,8
3572726,John Cushnahan,22327,unprotected,,5220,,Fewer than 30 watchers,,3,122,90,0,0,8
3593309,Relay channel,33838,unprotected,,4603,,Fewer than 30 watchers,,0,157,39,0,0,5
3603676,Tire code,1928672,unprotected,,34557,,94,9,15,10048,548,0,0,8
3625538,Anahim Lake Airport,17696,unprotected,,2387,,Fewer than 30 watchers,,1,69,48,0,0,4
3632157,List of Lexx episodes,165686,unprotected,,56258,,32,8,50,1245,352,0,0,7
3637842,Livingston North railway station,21799,unprotected,,9389,,Fewer than 30 watchers,,2,170,189,1,1,13
3674841,Shock Jock,13873,unprotected,,3930,,Fewer than 30 watchers,,0,69,37,0,0,6
3724576,Tom Phillips (Royal Navy officer),113527,unprotected,,27149,,Fewer than 30 watchers,,3,1674,290,1,1,15
3741868,SCSI connector,217011,unprotected,,16688,,32,2,7,1858,198,1,1,6
3771692,Toy Pop,41124,unprotected,,8548,,Fewer than 30 watchers,,5,396,121,0,0,6
3828229,Paul Winslow (cricketer),7342,unprotected,,3860,,Fewer than 30 watchers,,1,50,51,0,0,5
3935008,Johannes Vodnianus Campanus,18614,unprotected,,4517,,Fewer than 30 watchers,,6,40,110,0,0,24
3940288,Allen I. Olson,26198,unprotected,,5958,,Fewer than 30 watchers,,1,216,130,1,1,10
4095564,Lucas di Grassi,297115,unprotected,,151571,,30,5,1,7222,981,5,3,13
4132715,Pingnan,4295,unprotected,,771,,Fewer than 30 watchers,,2,29,13,0,0,
4251572,Frank S. Niceley,13347,unprotected,,6936,,Fewer than 30 watchers,,4,40,83,0,0,3
4253041,MIL-STD-810,1437184,unprotected,,23099,,81,7,4,13295,480,3,2,4
4297133,Gordon Slemon,5720,unprotected,,4158,,Fewer than 30 watchers,,2,17,34,1,1,10
4352243,Kita e,45782,unprotected,,19635,,Fewer than 30 watchers,,5,231,146,0,0,3
4391160,Libby Fox,232416,unprotected,,26799,,Fewer than 30 watchers,,1,948,931,0,0,6
4455796,Lateral inhibition,319444,unprotected,,18681,,38,3,1,1421,142,0,0,
4524798,Don Juan (1927 film),2217,unprotected,,50,,Fewer than 30 watchers,,0,1,1,0,0,
4652116,Credit Europe Bank,73975,unprotected,,5074,,Fewer than 30 watchers,,2,465,127,0,0,5
4701050,University (The Sopranos),424786,unprotected,,9894,,Fewer than 30 watchers,,1,9958,263,0,0,7
4707718,Gaya district,260613,unprotected,,17586,,Fewer than 30 watchers,,2,2740,385,3,3,14
4765753,Pronephric duct,20865,unprotected,,1436,,Fewer than 30 watchers,,2,65,19,0,0,
4780510,Pablo Herrera,5820,unprotected,,465,,Fewer than 30 watchers,,2,21,27,0,0,
4887423,Huberman,8242,unprotected,,570,,Fewer than 30 watchers,,1,179,34,3,2,4
4928189,Lucius Verginius Rufus,33979,unprotected,,4102,,Fewer than 30 watchers,,2,289,79,0,0,10
4944329,Katherine Hastings,7071,unprotected,,6612,,Fewer than 30 watchers,,0,22,114,0,0,10
4966415,Primorsko,68522,unprotected,,7603,,Fewer than 30 watchers,,1,1400,133,0,0,9
4970011,"Ghum, West Bengal",144334,unprotected,,18250,,Fewer than 30 watchers,,2,790,175,0,0,11
4972179,Blackpool Gate,6542,unprotected,,1590,,Fewer than 30 watchers,,1,43,20,0,0,8
4995794,Rasul Kudayev,13426,unprotected,,9730,,Fewer than 30 watchers,,8,238,89,0,0,5
5068895,John Gutmann,19616,unprotected,,11657,,Fewer than 30 watchers,,2,104,111,0,0,19
5130750,Sobotka,15964,unprotected,,3807,,Fewer than 30 watchers,,0,90,46,0,0,11
5184027,2006 in basketball,11441,unprotected,,19593,,Fewer than 30 watchers,,0,34,173,0,0,
5193058,"Skåre, Norway",8412,unprotected,,7175,,Fewer than 30 watchers,,1,38,16,0,0,8
5241550,Hanyang University Station,6994,unprotected,,57,,Fewer than 30 watchers,,0,0,1,0,0,
5250101,Scum Pups,12057,unprotected,,5862,,Fewer than 30 watchers,,0,62,100,0,0,6
5291226,Roberval and Saguenay Railway,17352,unprotected,,874,,Fewer than 30 watchers,,6,82,34,0,0,3
5312220,American Coalition of Citizens with Disabilities,22043,unprotected,,9093,,Fewer than 30 watchers,,1,94,36,2,2,4
5317583,Rufus of Ephesus,39887,unprotected,,12017,,Fewer than 30 watchers,,2,373,75,1,1,24
5318478,Purari language,12152,unprotected,,5176,,Fewer than 30 watchers,,7,55,78,0,0,
5329631,Aaron Dismuke,496251,unprotected,,33117,,44,3,3,8494,910,5,3,9
5393917,Silver (Jesu EP),27268,unprotected,,3367,,Fewer than 30 watchers,,0,189,88,0,0,5
5443806,"Horopito, New Zealand",20035,unprotected,,2143,,Fewer than 30 watchers,,0,292,37,0,0,7
5444617,Military of Montenegro,211451,unprotected,,57,,Fewer than 30 watchers,,0,622,1,0,0,
5481257,Oil Circuit Breaker,3237,unprotected,,147,,Fewer than 30 watchers,,0,2,6,0,0,4
5622925,Toast rack,40474,unprotected,,5893,,Fewer than 30 watchers,,1,301,61,0,0,
5657230,José Cid,74381,unprotected,,20762,,Fewer than 30 watchers,,2,508,212,0,0,15
5672232,Got the Thirst,5605,unprotected,,1310,,Fewer than 30 watchers,,0,26,17,0,0,6
5675972,Photo Production Ltd v Securicor Transport Ltd,66873,unprotected,,8533,,Fewer than 30 watchers,,7,430,57,0,0,2
5678569,Lollar,25323,unprotected,,1428,,Fewer than 30 watchers,,0,160,39,1,1,10
5707808,Banapur,47098,unprotected,,9972,,Fewer than 30 watchers,,1,403,157,0,0,8
5789653,Krasnobród Landscape Park,4340,unprotected,,1648,,Fewer than 30 watchers,,4,18,23,0,0,
5800497,Mairwa,28887,unprotected,,3738,,Fewer than 30 watchers,,0,128,16,0,0,7
5811291,Thiruvenkatam,13205,unprotected,,3848,,Fewer than 30 watchers,,1,186,67,0,0,9
5827186,Thyenula,4043,unprotected,,4198,,Fewer than 30 watchers,,3,10,31,0,0,6
5860186,Multiburst,14464,unprotected,,2990,,Fewer than 30 watchers,,0,63,28,0,0,
5918591,Thomas de Lundin,11927,unprotected,,4766,,Fewer than 30 watchers,,1,109,26,0,0,
5989194,Ion Jalea,12756,unprotected,,12075,,Fewer than 30 watchers,,0,141,115,0,0,13
5994100,Krouse v Chrysler Canada Ltd,7830,unprotected,,6579,,Fewer than 30 watchers,,1,45,39,0,0,3
5994190,Fenice,15189,unprotected,,294,,Fewer than 30 watchers,,1,69,14,0,0,
5999907,Mika Kawamura,15494,unprotected,,899,,Fewer than 30 watchers,,2,130,44,0,0,8
6010927,Bobby Digital Presents Northstar,12397,unprotected,,3278,,Fewer than 30 watchers,,0,59,42,0,0,5
6053264,"Harrison Mills, British Columbia",32556,unprotected,,13565,,Fewer than 30 watchers,,0,408,77,0,0,5
6055852,Saintly,47883,unprotected,,10105,,Fewer than 30 watchers,,0,157,92,0,0,8
6082149,HMS Porlock Bay (K650),13535,unprotected,,8481,,Fewer than 30 watchers,,8,61,50,0,0,2
6112816,Garey Bridges,14763,unprotected,,3672,,Fewer than 30 watchers,,0,64,31,0,0,4
6132954,Gashadokuro,655597,unprotected,,5876,,59,13,0,16020,220,1,1,11
6200269,Mix network,116570,unprotected,,14499,,39,7,5,1001,88,0,0,5
6223382,Eastern Goldfields,21502,unprotected,,7634,,Fewer than 30 watchers,,0,154,52,0,0,6
6226027,Waddell Barnes Botanical Gardens,10679,unprotected,,1391,,Fewer than 30 watchers,,0,25,19,0,0,2
6226645,Alaska Board of Nursing,5356,unprotected,,614,,Fewer than 30 watchers,,1,5,22,0,0,
6242348,British Traditional Wicca,110630,unprotected,,3352,,50,8,1,1224,85,0,0,
6247647,SM U-1 (Germany),144470,unprotected,,8146,,Fewer than 30 watchers,,10,2534,146,0,0,5
6299543,City Oval,38393,unprotected,,13609,,Fewer than 30 watchers,,1,207,78,2,2,3
6459308,Shin Joon-sup,9846,unprotected,,6444,,Fewer than 30 watchers,,3,152,98,0,0,5
6517121,Ben Kweller (album),25349,unprotected,,5202,,Fewer than 30 watchers,,0,192,84,1,1,5
6521798,Dan Saleaumua,39753,unprotected,,7839,,Fewer than 30 watchers,,0,414,117,0,0,4
6557089,Villafalletto,14135,unprotected,,2346,,Fewer than 30 watchers,,0,87,45,0,0,9
6701680,Novedrate,14822,unprotected,,5171,,Fewer than 30 watchers,,0,71,40,0,0,13
6777458,The Best of What's Around Vol. 1,76192,unprotected,,7605,,Fewer than 30 watchers,,1,708,184,0,0,6
6790948,Jhyali,14261,unprotected,,2031,,Fewer than 30 watchers,,0,211,39,0,0,4
6820199,Encounters (anthology),4430,unprotected,,2145,,Fewer than 30 watchers,,0,4,22,0,0,
6929997,Citizen Erased,32210,unprotected,,302,,Fewer than 30 watchers,,0,100,223,0,0,3
7032739,Bikash Chowdhury,10872,unprotected,,3064,,Fewer than 30 watchers,,0,159,51,0,0,9
7132011,Akita-Shirakami Station,3712,unprotected,,53,,Fewer than 30 watchers,,0,0,1,0,0,
7200330,Tsvi C. Nussbaum,41275,unprotected,,357,,Fewer than 30 watchers,,0,49,159,0,0,
